image_name_full,image_folder,phase_source,animal,phase_destination
n02123394_5350.JPEG,n02123394,train,cat,train_full
n02123394_6881.JPEG,n02123394,train,cat,train_full
n02123394_1136.JPEG,n02123394,train,cat,train_full
n02123597_5283.JPEG,n02123597,train,cat,train_full
n02123394_2359.JPEG,n02123394,train,cat,train_full
n02123045_112.JPEG,n02123045,train,cat,train_full
n02123045_11572.JPEG,n02123045,train,cat,train_full
n02123045_5639.JPEG,n02123045,train,cat,train_full
n02123394_1678.JPEG,n02123394,train,cat,train_full
n02123159_751.JPEG,n02123159,train,cat,train_full
n02123045_11566.JPEG,n02123045,train,cat,train_full
n02123394_9542.JPEG,n02123394,train,cat,train_full
n02123597_8002.JPEG,n02123597,train,cat,train_full
n02123394_569.JPEG,n02123394,train,cat,train_full
n02124075_6650.JPEG,n02124075,train,cat,train_full
n02123597_7457.JPEG,n02123597,train,cat,train_full
n02123597_5240.JPEG,n02123597,train,cat,train_full
n02123597_5254.JPEG,n02123597,train,cat,train_full
n02124075_13357.JPEG,n02124075,train,cat,train_full
n02123394_6856.JPEG,n02123394,train,cat,train_full
n02123045_10877.JPEG,n02123045,train,cat,train_full
n02124075_5365.JPEG,n02124075,train,cat,train_full
n02123045_1488.JPEG,n02123045,train,cat,train_full
n02124075_8133.JPEG,n02124075,train,cat,train_full
n02123159_7872.JPEG,n02123159,train,cat,train_full
n02123045_1113.JPEG,n02123045,train,cat,train_full
n02123394_2167.JPEG,n02123394,train,cat,train_full
n02123045_2354.JPEG,n02123045,train,cat,train_full
n02124075_11965.JPEG,n02124075,train,cat,train_full
n02123597_10205.JPEG,n02123597,train,cat,train_full
n02123597_15369.JPEG,n02123597,train,cat,train_full
n02123597_10577.JPEG,n02123597,train,cat,train_full
n02124075_14612.JPEG,n02124075,train,cat,train_full
n02123045_3937.JPEG,n02123045,train,cat,train_full
n02123597_9888.JPEG,n02123597,train,cat,train_full
n02123045_9349.JPEG,n02123045,train,cat,train_full
n02123597_7090.JPEG,n02123597,train,cat,train_full
n02123045_18.JPEG,n02123045,train,cat,train_full
n02123159_10815.JPEG,n02123159,train,cat,train_full
n02123045_9413.JPEG,n02123045,train,cat,train_full
n02123394_2761.JPEG,n02123394,train,cat,train_full
n02123045_15476.JPEG,n02123045,train,cat,train_full
n02123159_5678.JPEG,n02123159,train,cat,train_full
n02123045_16180.JPEG,n02123045,train,cat,train_full
n02124075_13747.JPEG,n02124075,train,cat,train_full
n02123597_7053.JPEG,n02123597,train,cat,train_full
n02123597_1422.JPEG,n02123597,train,cat,train_full
n02123597_2895.JPEG,n02123597,train,cat,train_full
n02123045_1932.JPEG,n02123045,train,cat,train_full
n02123159_3221.JPEG,n02123159,train,cat,train_full
n02123159_5644.JPEG,n02123159,train,cat,train_full
n02123597_5678.JPEG,n02123597,train,cat,train_full
n02123045_6091.JPEG,n02123045,train,cat,train_full
n02123045_14542.JPEG,n02123045,train,cat,train_full
n02123045_12655.JPEG,n02123045,train,cat,train_full
n02123394_7.JPEG,n02123394,train,cat,train_full
n02124075_12698.JPEG,n02124075,train,cat,train_full
n02123394_6711.JPEG,n02123394,train,cat,train_full
n02123045_13211.JPEG,n02123045,train,cat,train_full
n02123394_1718.JPEG,n02123394,train,cat,train_full
n02123159_14865.JPEG,n02123159,train,cat,train_full
n02124075_9371.JPEG,n02124075,train,cat,train_full
n02123159_6167.JPEG,n02123159,train,cat,train_full
n02123045_8296.JPEG,n02123045,train,cat,train_full
n02123394_7382.JPEG,n02123394,train,cat,train_full
n02124075_278.JPEG,n02124075,train,cat,train_full
n02123045_12682.JPEG,n02123045,train,cat,train_full
